crisis_name,start_date,end_date,asset,trading_days,mean_daily_return,total_return,std_return,max_drawdown,hit_rate
Global Financial Crisis (GFC),2007-10-09,2009-03-09,AAPL,356,-0.0013716530577818078,-0.5048851823813747,0.03462045218852894,-0.6086673233140454,0.4943820224719101
Global Financial Crisis (GFC),2007-10-09,2009-03-09,AMZN,356,-0.00048702554834490744,-0.3654007503332156,0.04034417257202132,-0.6716578714838077,0.449438202247191
Global Financial Crisis (GFC),2007-10-09,2009-03-09,DBC,356,-0.0006594596053234196,-0.2737004954584903,0.020915314706025766,-0.6030098820236585,0.5084269662921348
Global Financial Crisis (GFC),2007-10-09,2009-03-09,DIA,356,-0.0017703742552787722,-0.5186836171710223,0.02275107729469361,-0.5186836171710223,0.46348314606741575
Global Financial Crisis (GFC),2007-10-09,2009-03-09,GC=F,356,0.0008001029759705798,0.2445077052122897,0.01838285826749273,-0.29734846906222756,0.5168539325842697
Global Financial Crisis (GFC),2007-10-09,2009-03-09,GLD,356,0.0008126693590871704,0.2391572613593329,0.01948154622752533,-0.2941413603663834,0.5224719101123596
Global Financial Crisis (GFC),2007-10-09,2009-03-09,GOOGL,356,-0.0015561633293892508,-0.5271465245822837,0.03251148188533948,-0.6529475769682853,0.45786516853932585
Global Financial Crisis (GFC),2007-10-09,2009-03-09,IAU,356,0.0008149042110669831,0.24072803968183032,0.019605522046430356,-0.29228294314310643,0.5252808988764045
Global Financial Crisis (GFC),2007-10-09,2009-03-09,IEF,356,0.0005257156388574135,0.20150937300068827,0.006123275243736036,-0.06182470234411064,0.5252808988764045
Global Financial Crisis (GFC),2007-10-09,2009-03-09,IWM,356,-0.0020730926626415626,-0.583874671969525,0.02693223502723525,-0.5863999181050017,0.4859550561797753
Global Financial Crisis (GFC),2007-10-09,2009-03-09,MSFT,356,-0.0013914008374573327,-0.4821688261075716,0.029531028417895372,-0.6938622649878516,0.4550561797752809
Global Financial Crisis (GFC),2007-10-09,2009-03-09,NVDA,356,-0.0029346989056574274,-0.7748847577334378,0.05019230320844398,-0.8507840228231478,0.4691011235955056
Global Financial Crisis (GFC),2007-10-09,2009-03-09,QQQ,356,-0.0017468358948235267,-0.5155519631287926,0.02350937866351863,-0.7782015998109881,0.4606741573033708
Global Financial Crisis (GFC),2007-10-09,2009-03-09,SHY,356,0.00023363965757585602,0.0885470345910957,0.0017544767846840096,-0.022315078507903152,0.5758426966292135
Global Financial Crisis (GFC),2007-10-09,2009-03-09,SI=F,356,0.0003782414627702592,-0.03896108032223522,0.02968403979217548,-0.5750543781098152,0.5280898876404494
Global Financial Crisis (GFC),2007-10-09,2009-03-09,SLV,356,0.0003914857638881173,-0.04665919959993381,0.03083514324711576,-0.5708258446707315,0.5449438202247191
Global Financial Crisis (GFC),2007-10-09,2009-03-09,SPY,356,-0.0019399605373442302,-0.551894485120251,0.023998345105057137,-0.551894485120251,0.4887640449438202
Global Financial Crisis (GFC),2007-10-09,2009-03-09,TLT,356,0.0006864824720797877,0.2507448922462088,0.011106323679527857,-0.1619310559196694,0.5140449438202247
Global Financial Crisis (GFC),2007-10-09,2009-03-09,USO,356,-0.0015574208955568417,-0.533387639958692,0.03323092840852728,-0.8054136878010024,0.4691011235955056
Global Financial Crisis (GFC),2007-10-09,2009-03-09,UUP,356,0.0003340826155551024,0.11792954939873912,0.00792000312291886,-0.11155436604373459,0.48314606741573035
Global Financial Crisis (GFC),2007-10-09,2009-03-09,XLB,356,-0.0019084088052332073,-0.5671176128682425,0.02791278458946222,-0.5982479323024148,0.4859550561797753
Global Financial Crisis (GFC),2007-10-09,2009-03-09,XLE,356,-0.001144880025274996,-0.4791611296507381,0.035446253475953524,-0.5735939956312048,0.5308988764044944
Global Financial Crisis (GFC),2007-10-09,2009-03-09,XLF,356,-0.003738090111223229,-0.8156070679859239,0.0442220045097112,-0.8268653990508135,0.41292134831460675
Global Financial Crisis (GFC),2007-10-09,2009-03-09,XLI,356,-0.002444403335845735,-0.6226266263505549,0.022943604691886898,-0.6226266263505549,0.4887640449438202
Global Financial Crisis (GFC),2007-10-09,2009-03-09,XLK,356,-0.001718825197690603,-0.5139354661759241,0.023987527740153364,-0.7833349427773122,0.46629213483146065
Global Financial Crisis (GFC),2007-10-09,2009-03-09,XLP,356,-0.0008246264919742107,-0.2851106953312287,0.014262963911615249,-0.32387526041311065,0.49719101123595505
Global Financial Crisis (GFC),2007-10-09,2009-03-09,XLU,356,-0.0013039127645441376,-0.424757617902628,0.020991155466182795,-0.4648093815168971,0.49157303370786515
Global Financial Crisis (GFC),2007-10-09,2009-03-09,XLV,356,-0.001180524311656008,-0.3829888898356849,0.017443049348797524,-0.3917025545573618,0.4691011235955056
Global Financial Crisis (GFC),2007-10-09,2009-03-09,XLY,356,-0.002008719350732232,-0.5656677636281939,0.025543623020446122,-0.5904758144901043,0.43820224719101125
European Debt Crisis,2010-04-23,2012-07-24,AAPL,569,0.0015720535357635918,1.218810409839389,0.016904754291367424,-0.1667792431001619,0.5325131810193322
European Debt Crisis,2010-04-23,2012-07-24,AMZN,569,0.0009548302792870625,0.5528789935817711,0.022791031026944998,-0.2983665113764832,0.5131810193321616
European Debt Crisis,2010-04-23,2012-07-24,DBC,569,0.00025151764358042825,0.09889653669292531,0.012168597233173203,-0.5362979568795189,0.5342706502636204
European Debt Crisis,2010-04-23,2012-07-24,DIA,569,0.0003840642786490883,0.1929492910408348,0.011341193365910184,-0.261391635093704,0.5360281195079086
European Debt Crisis,2010-04-23,2012-07-24,GC=F,569,0.0006358408003190956,0.36675052759338556,0.01181278700037269,-0.18663631551495807,0.5641476274165202
European Debt Crisis,2010-04-23,2012-07-24,GLD,569,0.0006244285910773025,0.3563035688768703,0.0116162322386335,-0.19031361569409355,0.5588752196836555
European Debt Crisis,2010-04-23,2012-07-24,GOOGL,569,0.00033939071289636343,0.11482792379793683,0.01767210112915684,-0.4121380743419849,0.5166959578207382
European Debt Crisis,2010-04-23,2012-07-24,IAU,569,0.0006298456424581764,0.3609467375882105,0.011619409817936209,-0.1897297421017209,0.5430579964850615
European Debt Crisis,2010-04-23,2012-07-24,IEF,569,0.0004713619197481323,0.30234428301822414,0.0048813179890404195,-0.08018431622017608,0.5518453427065027
European Debt Crisis,2010-04-23,2012-07-24,IWM,569,0.0002858714108995855,0.06777712143327386,0.017437039147968025,-0.2891480140210211,0.5114235500878734
European Debt Crisis,2010-04-23,2012-07-24,META,45,-0.005800027486808987,-0.2558201230865712,0.03847477901593579,-0.323306297544393,0.4
European Debt Crisis,2010-04-23,2012-07-24,MSFT,569,7.337740302958103e-05,-0.004958593136228151,0.014607743508128148,-0.5230176950632488,0.48154657293497366
European Debt Crisis,2010-04-23,2012-07-24,NVDA,569,9.114729321163186e-06,-0.21897825402625581,0.030718280559729503,-0.7754172642806307,0.48154657293497366
European Debt Crisis,2010-04-23,2012-07-24,QQQ,569,0.0005207361676417663,0.27331309893269706,0.013319741881637419,-0.6270554503441357,0.5342706502636204
European Debt Crisis,2010-04-23,2012-07-24,SHY,569,5.661810234205075e-05,0.03300865807086306,0.0005903584909065687,-0.00806060763817873,0.5149384885764499
European Debt Crisis,2010-04-23,2012-07-24,SI=F,569,0.0010211460478553676,0.47286833411036633,0.025177748455108374,-0.4597604162184623,0.5536028119507909
European Debt Crisis,2010-04-23,2012-07-24,SLV,569,0.000994170902801017,0.46398657379905694,0.02422476924036637,-0.45768091258926824,0.5500878734622144
European Debt Crisis,2010-04-23,2012-07-24,SPY,569,0.0003369068899806193,0.1508370634153402,0.012526881289136173,-0.30592609167465734,0.5360281195079086
European Debt Crisis,2010-04-23,2012-07-24,TLT,569,0.0008745027107131207,0.5897668088684245,0.011475056569670654,-0.22451408608471868,0.5448154657293497
European Debt Crisis,2010-04-23,2012-07-24,TSLA,522,0.0011157365189048646,0.24905774656015267,0.03718946504395588,-0.384550538347342,0.4904214559386973
European Debt Crisis,2010-04-23,2012-07-24,USO,569,-0.00016099367833222072,-0.19047616829642888,0.019068561835184763,-0.7492339271138271,0.5026362038664324
European Debt Crisis,2010-04-23,2012-07-24,UUP,569,-4.324225618774624e-05,-0.031040272875289432,0.005638698402458031,-0.22190934225663672,0.44991212653778556
European Debt Crisis,2010-04-23,2012-07-24,XLB,569,0.00023401074144775876,0.044013120704416764,0.01688307341993923,-0.35926002377402655,0.5131810193321616
European Debt Crisis,2010-04-23,2012-07-24,XLE,569,0.0003867270316056806,0.12090540894018131,0.016976514085378775,-0.43188338215762734,0.5008787346221442
European Debt Crisis,2010-04-23,2012-07-24,XLF,569,-6.762109042454204e-05,-0.1246478659385738,0.017945291961721673,-0.6703528907085988,0.4833040421792619
European Debt Crisis,2010-04-23,2012-07-24,XLI,569,0.0002828501875430901,0.09360071934761538,0.01515533079045165,-0.311838633096463,0.5043936731107206
European Debt Crisis,2010-04-23,2012-07-24,XLK,569,0.00042020034830604234,0.21037467590157366,0.012666912738925179,-0.6569421677104209,0.5307557117750439
