asset,mean_crisis_return,outperform_spy_rate,max_drawdown_crisis,crisis_volatility,corr_with_spy,hit_rate,crisis_days,z_return,z_outperform,z_drawdown,z_vol,z_corr,z_hit,safe_haven_score,rank
DBC,-0.0005289118022181702,0.504297994269341,-0.7636263464047515,0.016570494416603656,0.49752776773153545,0.505730659025788,1396,-0.5286460215338613,0.17852725359694235,-0.6250949923117888,0.4704659730716392,0.048482199508342566,0.1602708791460125,-0.111860744405528,21
AMZN,0.0005230218029713765,0.4936936936936937,-0.9440421779932859,0.039906726813834205,0.5038252549779638,0.4875675675675676,2775,1.143633078133616,0.057510089629974094,-1.4229731061109345,-1.4607344663570454,0.03302668053666245,-0.8242291673004785,-0.18078949810751832,22
NVDA,0.0003306062602025394,0.49333333333333335,-0.8972243627906007,0.04464221013265796,0.5928502337380419,0.49277510188958873,2699,0.8377463862016474,0.053397627095945706,-1.2159241472850317,-1.8526215246683502,-0.18546161397479777,-0.5419634641466695,-0.25664841430820884,23
MSFT,-0.0001751493978309588,0.48378962536023057,-0.6938622649878516,0.02301807504106677,0.7535997724216924,0.4823487031700288,2776,0.03373688189876547,-0.05551596549743901,-0.3165675576529809,-0.0631064701258644,-0.5799788948510801,-1.107108998280434,-0.3095279372550571,24
QQQ,-0.0005545109105358952,0.5012996658002228,-0.8296389940832403,0.021270632241123577,0.8631842246527985,0.506869662086892,2693,-0.5693414167552562,0.14431007865120515,-0.9170319379381693,0.08150394708643924,-0.848924986233736,0.2220086383341442,-0.3369151866255932,25
META,-0.0003764824277527963,0.5,-0.7673608856051737,0.03857950737554802,0.6922478421074993,0.4911504424778761,452,-0.2863261110031,0.12947818397547153,-0.6416107662707922,-1.3508998230090152,-0.42940678794320264,-0.6300254149423264,-0.4359323186300304,26
XLK,-0.0005636193106524155,0.49352571217166114,-0.8204650935444606,0.020890798922877724,0.8822933120960147,0.4961154273029967,2703,-0.5838212157379317,0.05559307046871788,-0.8764609171268912,0.11293722468754418,-0.8958231937176216,-0.36090670229470134,-0.44352158934286706,27
XLF,-0.0004118290277173671,0.487606363300037,-0.8268653990508135,0.024521863313522956,0.851022853993171,0.4839067702552719,2703,-0.34251728131408943,-0.01195903330888601,-0.9047658814982752,-0.18755314699902306,-0.8190781143630372,-1.0226565733550321,-0.5187515270726535,28
BTC-USD,-0.0008356147684940019,0.504424778761062,-0.8336965544986015,0.04163092245463653,0.4458300036644043,0.4786821705426357,516,-1.0162176304061483,0.1799741288070154,-0.934976253702087,-1.6034210544274332,0.17536070550073682,-1.3058472775138636,-0.6882211111401594,29
USO,-0.0013919919121775546,0.4946159368269921,-0.9818692538851106,0.031220204724332314,0.44189864115690464,0.49605168700646085,1393,-1.9007010848034847,0.06803480530392346,-1.5902610635887429,-0.7418774121933294,0.18500919631009474,-0.3643616386442971,-0.8011980772478612,30
ETH-USD,-0.0007993893799570697,0.4722222222222222,-0.9396254038538314,0.05324381213471316,0.466013335799784,0.4798387096774194,496,-0.9586294329868541,-0.18752413635588683,-1.4034401893572543,-2.56445097868643,0.1258260481805491,-1.2431590047310708,-0.9117232552727003,31
XLRE,-0.0018052467016219848,0.4977578475336323,-0.38824761015325415,0.023009792326083217,0.8599489029667514,0.45739910313901344,446,-2.557660177864192,0.10389055273796273,1.0349947869694518,-0.062421030310918134,-0.8409847437621774,-2.459460410806036,-0.9646965920893614,32
TSLA,-0.00193802067935272,0.49132176234979974,-0.736322174421912,0.04476048867931341,0.5746081970867861,0.4772727272727273,748,-2.7687335258810712,0.030441411001455827,-0.5043439415381495,-1.8624097191544104,-0.14069135362921775,-1.3822437966791343,-1.176427934962393,33
SPY,-0.000409351148555962,0.0,-0.551894485120251,0.016385396284639683,1.0,0.5126080691642652,2776,-0.3385781491172692,-5.576563581988976,0.3112763705858096,0.4857838524834278,-1.1847031670792902,0.5330494128189239,-1.2024354759799534,34
