asset,regime,count,mean_return,std_return,mean_volatility_21d,max_drawdown,hit_rate
NVDA,crisis,2700,0.0003306062602025394,0.04464221013265796,0.040371268166655636,-0.8972243627906007,0.49277510188958873
NVDA,normal,4160,0.002994032970979649,0.03182172905257237,0.027749626955028243,-0.7121901344055098,0.5331730769230769
QQQ,crisis,2693,-0.0005545109105358952,0.021270632241123577,0.018546891442031234,-0.8296389940832403,0.506869662086892
QQQ,normal,4135,0.0012620067964568304,0.01342425159585004,0.011690766018894584,-0.6867453888415405,0.5706337687469762
SHY,crisis,2257,8.590943041849842e-05,0.0012258608185396554,0.0011069642153980588,-0.05707100245289454,0.5186170212765957
SHY,normal,3720,7.455578771964734e-05,0.0007517734885764642,0.0006553676491210309,-0.0389006747347832,0.48413978494623655
SI=F,crisis,2671,0.0004654120872600319,0.021428153283738184,0.018929676193836377,-0.7584595804147046,0.536128790715088
SI=F,normal,3771,0.0007600382272869988,0.02020890266798652,0.018079160659828775,-0.71871397025315,0.5230769230769231
SLV,crisis,1393,0.00018579610888889858,0.024869215882595105,0.022643716655143385,-0.7628015142556759,0.5254845656855707
SLV,normal,3640,0.0006663310150498207,0.01903516664759151,0.01679414405781712,-0.7236563503290236,0.5174498488595768
SPY,crisis,2776,-0.000409351148555962,0.016385396284639683,0.013787521041722902,-0.551894485120251,0.5126080691642652
SPY,normal,4772,0.0009660551422106374,0.008775676999146801,0.008456939854755884,-0.09999615625641334,0.5600503039195137
TLT,crisis,2257,0.00029766036721015117,0.01071657610556621,0.009762237491540362,-0.4792681304804204,0.524822695035461
TLT,normal,3720,0.00011597329840346449,0.007821548648084105,0.007565879772149162,-0.48351153113864176,0.5190860215053763
TSLA,crisis,749,-0.00193802067935272,0.04476048867931341,0.040971663418824376,-0.736322174421912,0.4772727272727273
TSLA,normal,3235,0.002943851572856257,0.03384253974437595,0.03177822513151195,-0.6535112261170382,0.5248840803709428
USO,crisis,1393,-0.0013919919121775546,0.031220204724332314,0.02673638721542246,-0.9818692538851106,0.49605168700646085
USO,normal,3653,0.000550797652636555,0.019348153299118726,0.018072181694247357,-0.9733997283733005,0.5186199342825849
UUP,crisis,1371,0.00011149359044918561,0.0068280198127418186,0.006415131622562161,-0.22190934225663672,0.48577680525164113
UUP,normal,3452,5.6877101788445095e-05,0.004234356195004323,0.004067505132560911,-0.22190934225663672,0.4865256447406549
XLB,crisis,2703,-0.0001295462562224732,0.019085077780921757,0.01686589211501939,-0.5982479323024148,0.5024047354790973
XLB,normal,4177,0.0007922512577786666,0.011316002246816368,0.010855437312715963,-0.37561222920881965,0.5332854406130269
XLE,crisis,2703,-2.9632411552552996e-05,0.022657325020699903,0.019119136607283902,-0.7126277917957133,0.5149833518312985
XLE,normal,4177,0.000849153163410805,0.014254335253795925,0.013577195199178905,-0.6350984568940576,0.523227969348659
XLF,crisis,2703,-0.0004118290277173671,0.024521863313522956,0.01930467563482925,-0.8268653990508135,0.4839067702552719
XLF,normal,4177,0.0008982312070165503,0.011668909395827806,0.010991730715207046,-0.6058117174491227,0.5330459770114943
XLI,crisis,2703,-0.000277797585795721,0.017406755576586514,0.015008217144578784,-0.6226266263505549,0.5020347761746208
XLI,normal,4177,0.0009226779460008188,0.00972166729347329,0.009417013333883497,-0.2026086852485801,0.5557950191570882
XLK,crisis,2703,-0.0005636193106524155,0.020890798922877724,0.018073443033297026,-0.8204650935444606,0.4961154273029967
XLK,normal,4177,0.0012050805955712148,0.012477917682463603,0.011489309045410203,-0.689901017208334,0.5689655172413793
XLP,crisis,2703,-0.00018857163890959646,0.011575049912419285,0.010014069774558185,-0.35889062186350185,0.4938956714761376
XLP,normal,4177,0.0006280307626752124,0.008025994550079402,0.007521112991829634,-0.3191878113192216,0.5378352490421456
XLRE,crisis,446,-0.0018052467016219848,0.023009792326083217,0.019334932273264265,-0.38824761015325415,0.45739910313901344
XLRE,normal,2209,0.0008025545272084801,0.009498543136701173,0.009414581178716967,-0.3354093873066818,0.5475543478260869
XLU,crisis,2703,-0.00022083038687316725,0.015407375519889143,0.01283800643336455,-0.5227241836886201,0.510913799482057
XLU,normal,4177,0.0007631646813318036,0.00941744803034327,0.009091104722402989,-0.252620940022366,0.5454980842911877
XLV,crisis,2703,-0.00026428478690114054,0.013962805206520549,0.012058792610906931,-0.3917025545573618,0.49500554938956715
XLV,normal,4177,0.0007932117829337286,0.009036052181392315,0.0086234296318211,-0.17412033888515865,0.5383141762452107
XLY,crisis,2703,-0.00016483287547885357,0.01847418313701101,0.01609857726956332,-0.5904758144901043,0.4975952645209027
XLY,normal,4177,0.0008823829424315406,0.010728872500363144,0.010208984204855736,-0.27816669330786836,0.5493295019157088
