asset,mean_crisis_return,outperform_spy_rate,max_drawdown_crisis,crisis_volatility,corr_with_spy,hit_rate,crisis_days,z_return,z_outperform,z_drawdown,z_vol,z_corr,z_hit,safe_haven_score,rank
AMZN,0.0005230218029713,0.4936936936936937,-0.944042177993286,0.0399067268138342,0.5038252549779638,0.4875675675675676,2775,1.143633078133616,0.057510089629974,-1.4229731061109343,-1.4607344663570454,0.0330266805366624,-0.8242291673004785,-0.1807894981075183,22
NVDA,0.0003306062602025,0.4933333333333333,-0.8972243627906007,0.0446422101326579,0.5928502337380419,0.4927751018895887,2699,0.8377463862016474,0.0533976270959457,-1.2159241472850315,-1.8526215246683504,-0.1854616139747977,-0.5419634641466695,-0.2566484143082088,23
MSFT,-0.0001751493978309,0.4837896253602305,-0.6938622649878516,0.0230180750410667,0.7535997724216924,0.4823487031700288,2776,0.0337368818987654,-0.055515965497439,-0.3165675576529809,-0.0631064701258644,-0.5799788948510801,-1.107108998280434,-0.3095279372550571,24
QQQ,-0.0005545109105358,0.5012996658002228,-0.8296389940832403,0.0212706322411235,0.8631842246527985,0.506869662086892,2693,-0.5693414167552562,0.1443100786512051,-0.9170319379381692,0.0815039470864392,-0.848924986233736,0.2220086383341442,-0.3369151866255932,25
META,-0.0003764824277527,0.5,-0.7673608856051737,0.038579507375548,0.6922478421074993,0.4911504424778761,452,-0.2863261110031,0.1294781839754715,-0.6416107662707922,-1.3508998230090152,-0.4294067879432026,-0.6300254149423264,-0.4359323186300304,26
XLK,-0.0005636193106524,0.4935257121716611,-0.8204650935444606,0.0208907989228777,0.8822933120960147,0.4961154273029967,2703,-0.5838212157379317,0.0555930704687178,-0.8764609171268912,0.1129372246875441,-0.8958231937176216,-0.3609067022947013,-0.443521589342867,27
XLF,-0.0004118290277173,0.487606363300037,-0.8268653990508135,0.0245218633135229,0.851022853993171,0.4839067702552719,2703,-0.3425172813140894,-0.011959033308886,-0.9047658814982752,-0.187553146999023,-0.8190781143630372,-1.022656573355032,-0.5187515270726535,28
BTC-USD,-0.000835614768494,0.504424778761062,-0.8336965544986015,0.0416309224546365,0.4458300036644043,0.4786821705426357,516,-1.0162176304061483,0.1799741288070154,-0.934976253702087,-1.6034210544274332,0.1753607055007368,-1.3058472775138636,-0.6882211111401594,29
USO,-0.0013919919121775,0.4946159368269921,-0.9818692538851106,0.0312202047243323,0.4418986411569046,0.4960516870064608,1393,-1.9007010848034849,0.0680348053039234,-1.5902610635887429,-0.7418774121933294,0.1850091963100947,-0.3643616386442971,-0.8011980772478612,30
ETH-USD,-0.000799389379957,0.4722222222222222,-0.9396254038538314,0.0532438121347131,0.466013335799784,0.4798387096774194,496,-0.958629432986854,-0.1875241363558868,-1.4034401893572543,-2.56445097868643,0.1258260481805491,-1.2431590047310708,-0.9117232552727004,31
XLRE,-0.0018052467016219,0.4977578475336323,-0.3882476101532541,0.0230097923260832,0.8599489029667514,0.4573991031390134,446,-2.557660177864192,0.1038905527379627,1.0349947869694518,-0.0624210303109181,-0.8409847437621774,-2.459460410806036,-0.9646965920893614,32
